coral_number,site,habitat,transect,taxa,x,y,z,length_2013,width_2013,height_2013,observer_2013,note_2013,note_extra_2013,fusion_group_2013,fission_group_2013,growth_ratio_2013,dynamics_2013,length_2014,width_2014,height_2014,observer_2014,note_2014,note_extra_2014,fusion_group_2014,fission_group_2014,growth_ratio_2014,dynamics_2014,length_2015,width_2015,height_2015,observer_2015,note_2015,note_extra_2015,fusion_group_2015,fission_group_2015,growth_ratio_2015,dynamics_2015,length_2016,width_2016,height_2016,observer_2016,note_2016,note_extra_2016,fusion_group_2016,fission_group_2016,growth_ratio_2016,dynamics_2016,length_2017,width_2017,height_2017,observer_2017,note_2017,note_extra_2017,fusion_group_2017,fission_group_2017,growth_ratio_2017,dynamics_2017,length_2018,width_2018,height_2018,observer_2018,note_2018,note_extra_2018,fusion_group_2018,fission_group_2018,growth_ratio_2018,dynamics_2018,length_2019,width_2019,height_2019,observer_2019,note_2019,note_extra_2019,fusion_group_2019,fission_group_2019,growth_ratio_2019,dynamics_2019,length_2020,width_2020,height_2020,observer_2020,note_2020,note_extra_2020,fusion_group_2020,fission_group_2020,growth_ratio_2020,dynamics_2020,length_2021,width_2021,height_2021,observer_2021,note_2021,note_extra_2021,fusion_group_2021,fission_group_2021,growth_ratio_2021,dynamics_2021,length_2022,width_2022,height_2022,observer_2022,note_2022,note_extra_2022,fusion_group_2022,fission_group_2022,growth_ratio_2022,dynamics_2022,length_2023,width_2023,height_2023,observer_2023,note_2023,note_extra_2023,fusion_group_2023,fission_group_2023,growth_ratio_2023,dynamics_2023
6218,LTER5,BR,T1,Por,1,26,8,1,0.6,1.4,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6219,LTER5,BR,T1,Por,1.05,15,38,2.3,2.2,4,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6220,LTER5,BR,T1,Por,1.05,19,38,5.6,4.3,6.3,MK,NA,NA,NA,NA,NA,NA,5.2,4.8,4.6,MK,NA,NA,NA,NA,0.901234567901235,NA,9.1,5.8,8.9,MK,NA,NA,NA,NA,1.63013698630137,Growth,6,5.6,10.1,MK,NA,NA,NA,NA,0.911764705882353,NA,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6221,LTER5,BR,T1,Por,1.06,3,48,6.3,5.6,7.7,MK,NA,NA,NA,NA,NA,NA,3.4,3,2.4,MK,NA,NA,NA,NA,0.448979591836735,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6222,LTER5,BR,T1,Por,1.07,13,47,0.6,0.6,0.9,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6223,LTER5,BR,T1,Por,1.08,11,49,6,5,6.8,MK,NA,NA,NA,NA,NA,NA,4.2,3.6,6,MK,NA,NA,NA,NA,0.775280898876405,NA,5.8,3.2,5.6,MK,NA,NA,NA,NA,1.05797101449275,Growth,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6224,LTER5,BR,T1,Por,1.09,8,49,1,0.7,0.4,MK,R,NA,NA,NA,NA,Recruitment,4.2,2.6,2.6,MK,NA,NA,NA,NA,4.47619047619048,Growth,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6225,LTER5,BR,T1,Por,1.09,37,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,2.2,3,EW,NA,R,NA,NA,NA,Recruitment,4.6,2.5,2,EW,NA,NA,NA,NA,0.968085106382979,NA,5,4,4.5,EW,NA,NA,NA,NA,1.48351648351648,Growth,5.7,4.1,4.7,MK,NA,NA,NA,NA,1.07407407407407,Growth,5.7,3.6,5,NA,NA,NA,NA,NA,0.986206896551724,NA,5.6,3.7,4.3,MK,NA,NA,NA,NA,0.951048951048951,NA
6226,LTER5,BR,T1,Por,1.1,18,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3,4.3,MK,Fi2,NA,NA,2,NA,Fission2,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6227,LTER5,BR,T1,Por,1.1,32,6,0.8,0.2,0.6,MK,R,NA,NA,NA,NA,Recruitment,1,0.7,0.7,MK,NA,NA,NA,NA,1.5,Growth,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6228,LTER5,BR,T1,Por,1.12,43,15,10.1,8.7,18.4,MK,NA,NA,NA,NA,NA,NA,12.5,8.8,13.7,MK,Fi4,NA,NA,4,0.940860215053764,Fission4,14.8,8.7,15.2,MK,NA,NA,NA,NA,1.10571428571429,Growth,15,8.8,15.5,MK,NA,NA,NA,NA,1.01550387596899,Growth,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,12.3,9.6,8.9,EW,NA,NA,NA,NA,NA,NA,11.5,7,13,EW,NA,dying,NA,NA,1.02272727272727,Growth,5,4,4.5,EW,NA,NA,NA,NA,0.428571428571429,NA,12,10.8,13.6,MK,Fu1,NA,1,NA,2.6962962962963,"Growth, Fusion1",10.5,9.3,13.4,NA,NA,NA,NA,NA,0.912087912087912,NA,12.9,10,10.9,MK,NA,NA,NA,NA,1.01807228915663,Growth
6229,LTER5,BR,T1,Por,1.13,18,50,9.5,5.9,7.1,MK,NA,NA,NA,NA,NA,NA,2.7,2.3,2.6,MK,Fi2,NA,NA,2,0.337777777777778,Fission2,2.6,2.5,2.8,MK,R,NA,NA,NA,1.03947368421053,"Recruitment, Growth",2,1.6,3.1,MK,NA,NA,NA,NA,0.848101265822785,NA,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6230,LTER5,BR,T1,Por,1.15,16,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2,2.4,MK,Fi2,NA,NA,2,NA,Fission2,1.3,0.6,1.1,MK,R,NA,NA,NA,0.416666666666667,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6231,LTER5,BR,T1,Por,1.15,19,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.1,2.3,MK,Fi2,NA,NA,2,NA,Fission2,2.1,0.9,1.7,MK,R,NA,NA,NA,0.691176470588235,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6232,LTER5,BR,T1,Por,1.15,38,4,2.9,1.8,2.6,MK,R,NA,NA,NA,NA,Recruitment,2.5,1.7,2.8,MK,NA,NA,NA,NA,0.958904109589041,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6233,LTER5,BR,T1,Por,1.15,44,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.6,1.3,MK,Fi4,NA,NA,4,NA,Fission4,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6234,LTER5,BR,T1,Por,1.16,9,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,2.8,4.2,MK,Fi3,NA,NA,3,NA,Fission3,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6235,LTER5,BR,T1,Por,1.18,17,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0.8,2.1,MK,Fi2,NA,NA,2,NA,Fission2,1.8,1.1,1.4,MK,R,NA,NA,NA,0.843137254901961,Recruitment,1.1,1.3,1.6,MK,NA,NA,NA,NA,0.930232558139535,NA,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6236,LTER5,BR,T1,Por,1.2,41,21,2.6,0.4,1.4,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6237,LTER5,BR,T1,Por,1.2,45,24,10.1,7.8,11.6,MK,NA,NA,NA,NA,NA,NA,10.3,7.2,9.8,MK,NA,NA,NA,NA,0.925423728813559,NA,6.4,4.6,3.7,MK,NA,NA,NA,NA,0.538461538461538,NA,10.8,6.8,11,MK,NA,NA,NA,NA,1.94557823129252,Growth,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,7.2,7.5,9.4,EW,NA,NA,NA,NA,NA,NA,10,7,12,EW,NA,NA,NA,NA,1.20331950207469,Growth,4,5.5,4.5,EW,NA,dying,NA,NA,0.482758620689655,NA,NA,NA,NA,MK,Fu1,NA,1,NA,NA,Fusion1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6238,LTER5,BR,T1,Por,1.21,7,50,6.3,4.7,7.7,MK,NA,NA,NA,NA,NA,NA,2.9,3,4.9,MK,Fi3,NA,NA,3,0.577540106951872,Fission3,4.1,3.7,5,MK,NA,NA,NA,NA,1.18518518518519,Growth,4.7,4.3,6.1,MK,NA,NA,NA,NA,1.1796875,Growth,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6239,LTER5,BR,T1,Por,1.21,19,50,3.6,1.7,1.5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6240,LTER5,BR,T1,Por,1.21,41,15,1.8,0.5,2.3,MK,R,NA,NA,NA,NA,Recruitment,1.7,1.3,2.4,MK,NA,NA,NA,NA,1.17391304347826,Growth,3.2,2.5,2.2,MK,NA,NA,NA,NA,1.46296296296296,Growth,2.4,1.9,2.7,MK,R,NA,NA,NA,0.886075949367089,Recruitment,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6241,LTER5,BR,T1,Por,1.23,3,53,1.2,0.8,0.6,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6242,LTER5,BR,T1,Por,1.25,5,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4.3,7,MK,NA,NA,NA,NA,NA,NA
6243,LTER5,BR,T1,Por,1.25,45,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,3.3,4.2,3.2,EW,NA,NA,NA,NA,NA,NA,3,3.5,4.8,EW,NA,NA,NA,NA,1.05607476635514,Growth,7,7.5,8,EW,NA,NA,NA,NA,1.99115044247788,Growth,4.2,3,3.4,MK,NA,NA,NA,NA,0.471111111111111,NA,4,2.9,4.1,NA,NA,NA,NA,NA,1.0377358490566,Growth,10.2,9.3,8.5,MK,NA,NA,NA,NA,2.54545454545455,Growth
6244,LTER5,BR,T1,Por,1.26,1,52,2.5,2.2,2.6,MK,R,NA,NA,NA,NA,Recruitment,5.3,4,6,MK,NA,NA,NA,NA,2.0958904109589,Growth,6.8,3.9,6.1,MK,NA,NA,NA,NA,1.09803921568627,Growth,5.3,5.4,7,MK,NA,NA,NA,NA,1.05357142857143,Growth,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6245,LTER5,BR,T1,Por,1.27,14,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1.8,2.5,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6246,LTER5,BR,T1,Por,1.28,6,55,13.9,7.1,7.9,MK,NA,NA,NA,NA,NA,NA,6,4.3,5.6,MK,NA,NA,NA,NA,0.550173010380623,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6247,LTER5,BR,T1,Por,1.29,4,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,7,EW,NA,NA,NA,NA,NA,NA,6,8,7.5,EW,NA,NA,NA,NA,1.13157894736842,Growth,3.7,4.2,7.6,MK,NA,NA,NA,NA,0.72093023255814,NA,5.1,4.4,7.7,NA,NA,NA,NA,NA,1.10967741935484,Growth,8.3,6.8,7.5,MK,NA,NA,NA,NA,1.31395348837209,Growth
6248,LTER5,BR,T1,Por,1.29,51,36,2.2,2.1,2.6,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6249,LTER5,BR,T1,Por,1.29,58,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,3.9,6.5,MK,Fi5,NA,NA,5,NA,Fission5,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6250,LTER5,BR,T1,Por,1.29,61,27,6.4,4.1,4.3,MK,NA,NA,NA,NA,NA,NA,7,3.5,5.2,MK,NA,NA,NA,NA,1.06081081081081,Growth,8,3.9,4.6,MK,NA,NA,NA,NA,1.05095541401274,Growth,8.7,4.8,5.9,MK,NA,NA,NA,NA,1.17575757575758,Growth,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,6.5,4.5,7.5,EW,NA,NA,NA,NA,NA,NA,8,6,7,EW,NA,NA,NA,NA,1.13513513513514,Growth,6,6,7.5,EW,NA,NA,NA,NA,0.928571428571429,NA,12.2,6.5,10.6,MK,NA,NA,NA,NA,1.5025641025641,Growth,12.2,6.7,12.1,NA,NA,NA,NA,NA,1.0580204778157,Growth,8.1,6.6,12.2,MK,NA,NA,NA,NA,0.867741935483871,NA
6251,LTER5,BR,T1,Por,1.3,32,53,1.1,0.9,1.9,MK,R,NA,NA,NA,NA,Recruitment,1.5,1.2,2.3,MK,NA,NA,NA,NA,1.28205128205128,Growth,1.9,1.4,3.2,MK,NA,NA,NA,NA,1.3,Growth,2.5,2.2,3.3,MK,NA,NA,NA,NA,1.23076923076923,Growth,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,3,1.9,2.1,EW,NA,NA,NA,NA,NA,NA,1.8,1.5,2,EW,NA,NA,NA,NA,0.757142857142857,NA,NA,NA,NA,EW,D,D,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6252,LTER5,BR,T1,Poc,1.3,32,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,2.8,3.9,MK,R,NA,NA,NA,NA,Recruitment,7,5.1,5.1,MK,NA,NA,NA,NA,1.62264150943396,Growth,NA,NA,NA,NS,NS,NA,NA,NA,NA,NA,11.8,10.6,10.9,EW,NA,NA,NA,NA,NA,NA,14,11,12,EW,NA,NA,NA,NA,1.11111111111111,Growth,18.5,16,14,EW,NA,NA,NA,NA,1.31081081081081,Growth,23.7,18.2,16.4,MK,NA,NA,NA,NA,1.2020618556701,Growth,26.4,20.5,16.4,NA,NA,NA,NA,NA,1.08576329331046,Growth,61.1,19.7,20.8,MK,FU1,NA,1,NA,1.60505529225908,"Growth, Fusion1"
